emp_no,first_name,last_name,dept_no,dept_name
10001,Georgi,Facello,d005,Development
10006,Anneke,Preusig,d005,Development
10008,Saniya,Kalloufi,d005,Development
10012,Patricio,Bridgland,d005,Development
10014,Berni,Genin,d005,Development
10018,Kazuhide,Peha,d005,Development
10021,Ramzi,Erde,d005,Development
10022,Shahaf,Famili,d005,Development
10023,Bojan,Montemayor,d005,Development
10025,Prasadram,Heyers,d005,Development
10027,Divier,Reistad,d005,Development
10028,Domenick,Tempesti,d005,Development
10031,Karsten,Joslin,d005,Development
10037,Pradeep,Makrucki,d005,Development
10040,Weiyi,Meriste,d005,Development
10043,Yishay,Tzvieli,d005,Development
10048,Florian,Syrotiuk,d005,Development
10053,Sanjiv,Zschoche,d007,Sales
10056,Brendon,Bernini,d005,Development
10057,Ebbe,Callaway,d005,Development
10062,Anoosh,Peyn,d005,Development
10065,Satosi,Awdeh,d005,Development
10066,Kwee,Schusler,d005,Development
10070,Reuven,Garigliano,d005,Development
10072,Hironoby,Sidou,d005,Development
10074,Mokhtar,Bernatsky,d005,Development
10075,Gao,Dolinsky,d005,Development
10076,Erez,Ritzmann,d005,Development
10078,Danel,Mondadori,d005,Development
10079,Kshitij,Gils,d005,Development
10088,Jungsoon,Syrzycki,d007,Sales
10090,Kendra,Hofting,d005,Development
10091,Amabile,Gomatam,d005,Development
10092,Valdiodio,Niizuma,d005,Development
10103,Akemi,Birch,d005,Development
10116,Dayanand,Czap,d005,Development
10118,Zhonghui,Zyda,d005,Development
10121,Guoxiang,Ramsay,d005,Development
10122,Ohad,Esposito,d005,Development
10127,Subir,Baja,d005,Development
10129,Armond,Peir,d005,Development
10134,Diederik,Siprelle,d005,Development
10139,Ewing,Foong,d005,Development
10142,Tzvetan,Hettesheimer,d005,Development
10143,Sakthirel,Bakhtari,d005,Development
10145,Akemi,Esposito,d005,Development
10149,Xiadong,Perry,d007,Sales
10150,Zhenbing,Perng,d005,Development
10153,Heekeun,Majewski,d005,Development
10157,Nigel,Aloisi,d005,Development
10166,Samphel,Siegrist,d005,Development
10169,Sampalli,Snedden,d005,Development
10172,Shigeu,Matzen,d005,Development
10179,Deniz,Duclos,d005,Development
10181,Sibyl,Nooteboom,d005,Development
10182,Moriyoshi,Merey,d005,Development
10189,Khalid,Erva,d005,Development
10191,Zdislav,Nastansky,d005,Development
10193,Masaru,Cheshire,d005,Development
10197,Kasidit,Krzyzanowski,d005,Development
10198,Pranav,Furedi,d005,Development
10201,Idoia,Kavraki,d005,Development
10202,Greger,Lichtner,d005,Development
10204,Nevio,Ritcey,d005,Development
10206,Alassane,Iwayama,d005,Development
10207,Girolamo,Anandan,d005,Development
10211,Vishu,Strehl,d005,Development
10212,Divier,Esteva,d005,Development
10215,Xiaobin,Duclos,d007,Sales
10219,Genta,Kolvik,d005,Development
10223,Carrsten,Schmiedel,d005,Development
10227,Anneli,Kaiser,d005,Development
10238,Mototsugu,Gire,d005,Development
10244,Foong,Flasterstein,d005,Development
10249,Marie,Boreale,d005,Development
10258,Basil,Ishibashi,d005,Development
10261,Mang,Erie,d005,Development
10264,Nalini,Kawashimo,d005,Development
10268,Nishit,Siochi,d005,Development
10271,Sham,Eastman,d005,Development
10274,Dmitri,Pearson,d005,Development
10275,Marek,Luck,d005,Development
10276,Xuejun,Hempstead,d005,Development
10278,Lubomir,Nitsch,d005,Development
10283,Kauko,Birjandi,d005,Development
10287,Marie,Pietracaprina,d005,Development
10289,Shay,Poulakidas,d005,Development
10290,Yongmao,Pleszkun,d005,Development
10294,Rutger,Miara,d005,Development
10302,Faiza,Baer,d007,Sales
10305,Hirochika,Piancastelli,d005,Development
10309,Prodip,Schusler,d005,Development
10311,Hsiangchu,Molenkamp,d005,Development
10315,Maris,Angelopoulos,d005,Development
10318,Mototsugu,Beilner,d005,Development
10322,Isamu,Dahlbom,d005,Development
10324,Bernardo,Rouquie,d005,Development
10327,Roded,Facello,d005,Development
10328,Serenella,Kawashima,d005,Development
10333,Snehasis,Dymetman,d005,Development
10342,Stella,Hiroyama,d005,Development
10345,Arra,Ratnakar,d005,Development
10352,Erzsebet,Ohori,d005,Development
10355,Satyanarayana,Cochrane,d007,Sales
10358,Qunsheng,Tagansky,d005,Development
10359,Heekeun,Sambasivam,d005,Development
10366,Morrie,Piazza,d005,Development
10373,Hongzue,Heijenga,d005,Development
10379,Mikhail,Rosis,d005,Development
10386,Eishiro,Miyakawa,d005,Development
10389,Make,Peir,d005,Development
10391,Hongzue,Akaboshi,d005,Development
10394,Shawna,Meriste,d005,Development
10395,Takahiro,Deverell,d005,Development
10396,Sibyl,Rahier,d005,Development
10404,Prodip,Rosti,d005,Development
10409,Mario,Straney,d005,Development
10414,Yinlin,Alpin,d005,Development
10415,Mark,Coorg,d005,Development
10424,Babette,Straney,d005,Development
10426,Arunas,Luce,d005,Development
10429,Martien,Improta,d005,Development
10435,Marsha,Tagansky,d005,Development
10439,Jolita,Jarecki,d005,Development
10440,Akeel,Narahara,d005,Development
10442,Volkmar,Unno,d007,Sales
10443,Shichao,Litvinov,d005,Development
10445,Junichi,Kavanagh,d005,Development
10446,Ebru,Chepyzhov,d005,Development
10450,Khun,Harbusch,d005,Development
10452,Werner,Hasham,d005,Development
10460,Shushma,VanScheik,d005,Development
10463,Ung,Zaiane,d007,Sales
10469,Munehiko,Ananiadou,d005,Development
10477,Guoxiang,Trogemann,d005,Development
10478,Maik,Ushiama,d005,Development
10482,Goa,Pleszkun,d005,Development
10485,Teruyuki,Sundgren,d005,Development
10488,Mihalis,Heering,d005,Development
10489,Elvia,Homond,d005,Development
10492,Lobel,Kumaresan,d005,Development
10500,Vojin,Narwekar,d005,Development
10501,Susuma,Larfeldt,d005,Development
10504,Xiong,Varker,d007,Sales
10506,Kazuhisa,Kroll,d005,Development
10516,Xiadong,Luga,d005,Development
10518,Marin,Lanphier,d005,Development
10519,Yonghoan,Alencar,d005,Development
10527,Tetsushi,Barvinok,d005,Development
10528,Koichi,Lakshmanan,d005,Development
10529,Ymte,Yetto,d005,Development
10530,Boriana,Coors,d005,Development
10538,Przemyslawa,Falby,d005,Development
10541,Godehard,Eiter,d007,Sales
10542,Yannis,Couchot,d005,Development
10547,Snehasis,Brobst,d005,Development
10548,Ramalingam,Gunderson,d007,Sales
10549,Beshir,Kisuki,d005,Development
10553,Rajmohan,Wallrath,d005,Development
10554,Dines,Gerlach,d005,Development
10557,Sashi,Karlin,d005,Development
10560,Yinlin,Esteva,d005,Development
10562,Shuky,Pearson,d005,Development
10563,Mohit,Spelt,d005,Development
10566,Jianhui,Zuberek,d005,Development
10571,Fun,Varman,d005,Development
10578,Shigeaki,Shanbhogue,d005,Development
10579,Aiman,Stentiford,d005,Development
10582,Shmuel,Juneja,d005,Development
10584,Mana,Papastamatiou,d005,Development
10585,Sajjad,Willoner,d005,Development
10587,Behnaam,Srimani,d005,Development
10593,Falguni,Kenevan,d005,Development
10594,Kiyokazu,Whitcomb,d005,Development
10599,Seshu,Crelier,d005,Development
10604,Susanna,Brizzi,d005,Development
10606,Toshiki,Marakhovsky,d005,Development
10607,Rosalyn,Hambrick,d005,Development
10609,Janche,Zhang,d005,Development
10610,Irena,Roccetti,d005,Development
10611,Karsten,Blokdijk,d005,Development
10620,Marit,Veeraraghavan,d005,Development
10621,Hinrich,Siepmann,d005,Development
10623,Aleksander,Danlos,d005,Development
10625,Leszek,Petereit,d005,Development
10628,Krisda,Krogh,d005,Development
10629,Lalit,Francisci,d007,Sales
10631,Inderjeet,Chaudhuri,d005,Development
10632,Yoshimitsu,Velardi,d005,Development
10634,Nahid,Chepyzhov,d005,Development
10639,Pramod,Erol,d005,Development
10641,Guozhong,Zucker,d005,Development
10642,Hirochika,Narlikar,d005,Development
10643,Slavian,Keirsey,d005,Development
10648,Marlo,Ratnaker,d005,Development
10650,Hongzhu,Chepyzhov,d005,Development
10653,Otmar,Feinberg,d005,Development
10659,Dinah,Shackel,d005,Development
10660,Jouko,Kolinko,d005,Development
10663,Teunis,Noriega,d005,Development
10665,Qingxiang,Snyers,d005,Development
